GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
378938	1.69e-48	1.25e-52	0.175	15.268013	2.670173	10152.23	MALAT1	metastasis associated lung adenocarcinoma transcript 1
109136579	1.08e-46	1.60e-50	0.174	14.948226	2.604616	6534.06	TALAM1	TALAM1 transcript, MALAT1 antisense RNA
79974	4.92e-38	1.09e-41	0.214	-13.526475	-2.896999	286.93	CPED1	cadherin like and PC-esterase domain containing 1
163	8.28e-38	2.45e-41	0.16	-13.466934	-2.15038	633.93	AP2B1	adaptor related protein complex 2 subunit beta 1
1236	8.85e-38	3.27e-41	0.339	13.445538	4.564246	400.34	CCR7	C-C motif chemokine receptor 7
222658	4.02e-36	1.78e-39	0.193	-13.146544	-2.532165	4716.22	KCTD20	potassium channel tetramerization domain containing 20
107985544	4.85e-36	2.51e-39	0.214	-13.12062	-2.802815	89.45	LOC107985544	uncharacterized LOC107985544
23355	6.14e-36	3.63e-39	0.198	-13.09256	-2.587267	690.34	VPS8	VPS8 subunit of CORVET complex
89910	7.59e-36	5.05e-39	0.159	-13.067487	-2.083573	467.96	UBE3B	ubiquitin protein ligase E3B
2539	1.26e-35	9.28e-39	0.199	-13.021125	-2.594005	290.16	G6PD	glucose-6-phosphate dehydrogenase
23762	9.92e-35	8.07e-38	0.274	-12.854968	-3.521522	617.56	OSBP2	oxysterol binding protein 2
472	1.35e-33	1.20e-36	0.198	12.644444	2.504243	259.62	ATM	ATM serine/threonine kinase
100008587	2.46e-33	2.36e-36	0.423	12.591212	5.321931	15.24	RNA5-8SN5	RNA, 5.8S ribosomal N5
10611	3.33e-33	3.44e-36	0.154	-12.561337	-1.937556	803.52	PDLIM5	PDZ and LIM domain 5
10410	5.63e-33	6.24e-36	0.232	-12.514253	-2.899972	1664.62	IFITM3	interferon induced transmembrane protein 3
7812	6.87e-33	8.13e-36	0.181	-12.493224	-2.257511	3863.36	CSDE1	cold shock domain containing E1
84886	7.64e-33	9.60e-36	0.199	-12.480025	-2.487079	1492.49	C1orf198	chromosome 1 open reading frame 198
286	1.10e-32	1.46e-35	0.19	-12.446537	-2.362927	570	ANK1	ankyrin 1
5869	1.46e-32	2.05e-35	0.178	-12.419556	-2.214976	523.51	RAB5B	RAB5B, member RAS oncogene family
2162	2.12e-32	3.14e-35	0.215	-12.385237	-2.657629	107368.88	F13A1	coagulation factor XIII A chain
1950	2.19e-32	3.39e-35	0.205	-12.379055	-2.533651	1272.16	EGF	epidermal growth factor
56990	2.32e-32	3.94e-35	0.186	-12.367044	-2.30644	4441.15	CDC42SE2	CDC42 small effector 2
106632260	2.32e-32	3.89e-35	0.418	12.368133	5.166726	15.1	RNA5-8SN1	RNA, 5.8S ribosomal N1
